1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,16,0,4,1
1,0,15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1
1,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,1
1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
1,0,0,0,0,0,7,1,3,1,1,1,1,3,1,0,0,0,0,0,1
1,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,7,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,9,0,0,0,0,0,0,0,0,7,1,1,1,3,1,0,0,28,1
1,1,1,1,1,3,1,1,7,1,1,1,1,1,1,1,1,1,3,1,1
