1,1,1,29,1,1,1,1,29,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1
1,0,0,0,0,0,0,0,0,0,0,1,1,2,1,1,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,1,1,1,1,0,0,0,0,19,0,0,0,0,0,0,0,19,0,0,0,1
1,0,0,0,0,0,0,0,0,0,1,1,1,1,30,0,1,1,1,1,1,1,1,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,21,1,1,30,1,1,1,21,0,0,0,0,0,0,0,0,1,1,1,1,1,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4,1
1,1,1,1,24,1,1,1,3,1,1,20,0,20,1,1,1,1,30,1,1,1,1,1,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,9,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,28,0,0,1
1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
