0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,29,1,1,1,1,1,2,1,1,1,0,1,1
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,1
1,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,1
1,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,1
1,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,1,1,1,1,1,1,30,1,1,0,0,0,1
1,1,1,1,1,0,0,0,11,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,1
1,0,9,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,28,1
1,1,1,3,1,31,1,1,1,1,1,1,1,1,3,1,31,1,1,1
