1,1,1,29,1,1,1,1,1,29,1,1,1,29,1,1,1,1,1,1,1,
1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,
1,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
1,4,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,
1,1,29,1,1,0,0,0,0,0,0,0,0,0,1,29,1,1,0,0,1,
1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,
1,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,1,
1,0,0,1,1,0,1,30,1,0,0,0,0,0,0,0,0,1,0,0,1,
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,1,0,0,1,
1,28,0,0,0,0,8,0,0,0,0,0,10,0,0,0,0,1,0,0,1,
1,1,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,1,0,0,1,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,31,1,1,1,30,1,
